player_id,player_name,format,matches,innings,balls,runs,maidens,wickets,avg,eco,sr,bbi,bbm,4w,5w,10w
14701,Nitish Kumar Reddy,Test,7,12,432,301,4,8,37.63,4.18,54.0,2/32,3/82,0,0,0
14701,Nitish Kumar Reddy,ODI,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
14701,Nitish Kumar Reddy,T20,4,3,54,71,0,3,23.67,7.89,18.0,2/23,2/23,0,0,0
14701,Nitish Kumar Reddy,IPL,28,12,139,254,0,5,50.8,10.96,27.8,2/17,2/17,0,0,0
9647,Hardik Pandya,Test,11,19,937,528,19,17,31.06,3.38,55.12,5/28,6/50,0,1,0
9647,Hardik Pandya,ODI,94,88,3460,3231,16,91,35.51,5.6,38.02,4/24,4/24,1,0,0
9647,Hardik Pandya,T20,115,103,1823,2495,4,94,26.54,8.21,19.39,4/16,4/16,3,0,0
9647,Hardik Pandya,IPL,152,107,1628,2492,0,78,31.95,9.18,20.87,5/36,5/36,0,1,0
11195,Shivam Dube,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11195,Shivam Dube,ODI,4,4,107,106,0,1,106.0,5.94,107.0,1/19,1/19,0,0,0
11195,Shivam Dube,T20,36,25,297,449,0,16,28.06,9.07,18.56,3/4,3/4,0,0,0
11195,Shivam Dube,IPL,79,15,124,213,0,5,42.6,10.31,24.8,2/15,2/15,0,0,0
12086,Abhishek Sharma,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
12086,Abhishek Sharma,ODI,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
12086,Abhishek Sharma,T20,18,10,114,153,0,6,25.5,8.05,19.0,2/3,2/3,0,0,0
12086,Abhishek Sharma,IPL,77,32,336,501,0,11,45.55,8.95,30.55,2/4,2/4,0,0,0
587,Ravindra Jadeja,Test,85,159,19326,8305,742,330,25.17,2.58,58.56,7/42,10/110,14,15,3
587,Ravindra Jadeja,ODI,204,196,10116,8180,59,231,35.41,4.85,43.79,5/33,5/33,7,2,0
587,Ravindra Jadeja,T20,74,71,1356,1612,4,54,29.85,7.13,25.11,3/15,3/15,0,0,0
587,Ravindra Jadeja,IPL,254,225,4056,5188,2,170,30.52,7.67,23.86,5/16,5/16,3,1,0
8683,Shardul Thakur,Test,13,22,1611,1024,36,33,31.03,3.81,48.82,7/61,8/108,1,1,0
8683,Shardul Thakur,ODI,47,46,1940,2014,10,65,30.98,6.23,29.85,4/37,4/37,3,0,0
8683,Shardul Thakur,T20,25,24,506,772,0,33,23.39,9.15,15.33,4/27,4/27,1,0,0
8683,Shardul Thakur,IPL,105,102,2070,3244,3,107,30.32,9.4,19.35,4/34,4/34,2,0,0
10945,Washington Sundar,Test,13,22,1618,911,28,32,28.47,3.38,50.56,7/59,11/115,3,1,1
10945,Washington Sundar,ODI,23,20,828,669,5,24,27.88,4.85,34.5,3/30,3/30,0,0,0
10945,Washington Sundar,T20,54,52,975,1128,1,48,23.5,6.94,20.31,3/15,3/15,0,0,0
10945,Washington Sundar,IPL,66,63,1119,1436,1,39,36.82,7.7,28.69,3/16,3/16,0,0,0
8808,Axar Patel,Test,14,27,2540,1064,96,55,19.35,2.51,46.18,6/38,11/70,2,5,1
8808,Axar Patel,ODI,68,63,3167,2372,23,72,32.94,4.49,43.99,3/24,3/24,0,0,0
8808,Axar Patel,T20,72,69,1309,1584,3,72,22.0,7.26,18.18,3/9,3/9,0,0,0
8808,Axar Patel,IPL,162,159,3303,4046,2,128,31.61,7.35,25.8,4/21,4/21,1,0,0
9812,Saud Shakeel,Test,19,4,37,57,0,0,0.0,9.24,0.0,0/4,0/4,0,0,0
9812,Saud Shakeel,ODI,19,3,47,37,0,1,37.0,4.72,47.0,1/14,1/14,0,0,0
9812,Saud Shakeel,T20,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9812,Saud Shakeel,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9807,Kamran Ghulam,Test,6,2,18,16,0,0,0.0,5.33,0.0,0/3,0/16,0,0,0
9807,Kamran Ghulam,ODI,10,2,24,16,0,1,16.0,4,24.0,1/7,1/7,0,0,0
9807,Kamran Ghulam,T20,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9807,Kamran Ghulam,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
10101,Salman Agha,Test,21,29,1777,1123,27,19,59.11,3.79,93.53,3/75,4/117,0,0,0
10101,Salman Agha,ODI,41,30,940,904,0,17,53.18,5.77,55.29,4/32,4/32,1,0,0
10101,Salman Agha,T20,26,9,84,105,0,4,26.25,7.5,21.0,1/7,1/7,0,0,0
10101,Salman Agha,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
15460,Irfan Khan,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
15460,Irfan Khan,ODI,9,1,30,51,0,3,17.0,10.2,10.0,3/51,3/51,0,0,0
15460,Irfan Khan,T20,14,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
15460,Irfan Khan,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9804,Hussain Talat,Test,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
9804,Hussain Talat,ODI,4,2,36,42,0,0,0.0,7,0.0,0/16,0/16,0,0,0
9804,Hussain Talat,T20,19,7,54,86,0,5,17.2,9.56,10.8,2/12,2/12,0,0,0
9804,Hussain Talat,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
14545,Noman Ali,Test,19,36,4096,2055,117,83,24.76,3.01,49.35,8/46,11/147,2,8,2
14545,Noman Ali,ODI,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
14545,Noman Ali,T20,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
14545,Noman Ali,IPL,0,0,0,0,0,0,0.0,0,0.0,-/-,-/-,0,0,0
11265,Faheem Ashraf,Test,17,31,1908,991,79,25,39.64,3.12,76.32,3/42,6/99,0,0,0
11265,Faheem Ashraf,ODI,38,37,1516,1315,9,28,46.96,5.2,54.14,5/22,5/22,0,1,0
