teamId,teamName,teamSName,team_type
18,India Senior,INDSR,domestic
20,India Green,INDGREEN,domestic
21,India Red,INDRED,domestic
36,India Blue,INDBLUE,domestic
41,Sussex,SUS,domestic
42,England Lions,ENGA,domestic
43,Sri Lanka A,SLA,domestic
52,Victoria,VIC,domestic
53,ACT Invitational XI,ACTXI,domestic
54,India U19,INDU19,domestic
55,New Zealand U19,NZU19,domestic
56,Pakistan U19,PAKU19,domestic
57,South Africa U19,RSAU19,domestic
74,Middlesex,MDX,domestic
78,India A,INDA,domestic
79,Australia A,AUSA,domestic
80,New Zealand A,NZA,domestic
81,Delhi,DEL,domestic
82,Rest of India,ROI,domestic
86,Board Presidents XI,BPXI,domestic
87,Western Australia,WA,domestic
92,Tamil Nadu,TN,domestic
93,Uttar Pradesh,UP,domestic
94,Saurashtra,SAUR,domestic
95,Mumbai,MUM,domestic
119,Somerset,SOM,domestic
128,Karnataka,KAR,domestic
129,Australia U19,AUSU19,domestic
130,Windward Islands,WIS,domestic
139,Nottinghamshire,NOTTS,domestic
140,Warwickshire,WARKS,domestic
141,Durham,DUR,domestic
142,Northamptonshire,NHNTS,domestic
143,Lancashire,LANCS,domestic
144,Derbyshire,DERBY,domestic
145,Leicestershire,LEIC,domestic
146,Yorkshire,YORKS,domestic
147,Worcestershire,WORCS,domestic
148,Surrey,SUR,domestic
149,Glamorgan,GLAM,domestic
150,Kent,KENT,domestic
151,Gloucestershire,GLOUCS,domestic
152,Essex,ESS,domestic
153,Hampshire,HAM,domestic
154,Sri Lanka Cricket Presidents XI,SLCPXI,domestic
158,South Australia,SAUS,domestic
160,East Africa,EA,domestic
162,Assam,ASM,domestic
163,Gujarat,GUJ,domestic
164,Queensland,QL,domestic
165,England Cricket Board XI,ECBXI,domestic
166,Tasmania,TAS,domestic
167,Madhya Pradesh,MP,domestic
168,Nondescripts Cricket Club,NCC,domestic
170,Baroda,BRD,domestic
171,Rajasthan,RAJ,domestic
172,Sri Lanka U19,SLU19,domestic
173,England U19,ENGU19,domestic
186,Auckland,AKL,domestic
187,Ruhunu,RUH,domestic
191,Cricket Australia Chairmans XI,CACXI,domestic
200,Haryana,HAR,domestic
207,West Indies A,WIA,domestic
208,Basnahira Cricket Dundee,BCD,domestic
209,Kandurata Warriors,KW,domestic
210,Nagenahira Nagas,NN,domestic
211,Ruhuna Royals,RUR,domestic
212,Uthura Rudras,UR,domestic
213,Wayamba United,WU,domestic
214,Uva Next,UN,domestic
220,West Indies U19,WIU19,domestic
221,Zimbabwe U19,ZIMU19,domestic
222,Papua New Guinea U19,PNGU19,domestic
223,Afghanistan U19,AFGU19,domestic
224,Bangladesh U19,BANU19,domestic
226,Ireland U19,IREU19,domestic
228,Scotland U19,SCOU19,domestic
229,Nepal U19,NPLU19,domestic
230,Namibia  U19,NAMU19,domestic
231,India B,INDB,domestic
232,Bengal,BEN,domestic
233,North Zone,NZONE,domestic
234,West Zone,WZONE,domestic
235,East Zone,EZONE,domestic
236,South Zone,SZONE,domestic
237,Central Zone,CZONE,domestic
238,Pakistan All Star XI,PASXI,domestic
239,International World XI,IWXI,domestic
240,Mumbai A,MUMA,domestic
241,Andhra,AP,domestic
242,Hyderabad,HYD,domestic
243,Jharkhand,JHKD,domestic
244,Kerala,KER,domestic
245,Punjab,PUN,domestic
246,Railways,RLYS,domestic
247,Tripura,TRI,domestic
248,Vidarbha,VID,domestic
249,Odisha,ODSA,domestic
250,Services,SER,domestic
251,Himachal Pradesh,HP,domestic
252,Jammu and Kashmir,JK,domestic
253,Goa,GOA,domestic
254,Maharashtra,MAH,domestic
261,Unicorns,UNI,domestic
266,Australians,AUSN,domestic
267,South African Invitation XI,RSAIXI,domestic
268,South Africa A,RSAA,domestic
269,Zimbabwe XI,ZIMXI,domestic
272,Basnahira Greens,BG,domestic
273,Uthura Yellows,UY,domestic
274,Kandurata Maroons,KM,domestic
275,Ruhuna Reds,RHR,domestic
276,Indians,INDS,domestic
277,Western Australia Chairmans XI,WACXI,domestic
278,Cricket Australia Invitational XI,AUIXI,domestic
279,Prime Ministers XI,PMXI,domestic
281,Knights,KNG,domestic
282,Canada U19,CANU19,domestic
