player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds
11808,Shubman Gill,Test,37,69,2647,4309,269,41.36,61.43,5,295,43,7,9,1
11808,Shubman Gill,ODI,55,55,2775,2787,208,59.04,99.57,8,314,59,15,8,1
11808,Shubman Gill,T20,22,22,598,424,126,31.47,141.04,3,62,23,3,1,0
11808,Shubman Gill,IPL,118,115,3866,2787,129,39.45,138.72,17,372,119,26,4,0
13940,Yashasvi Jaiswal,Test,24,46,2209,3336,214,50.2,66.22,2,270,43,12,6,2
13940,Yashasvi Jaiswal,ODI,1,1,15,22,15,15,68.19,0,3,0,0,0,0
13940,Yashasvi Jaiswal,T20,23,22,723,440,100,36.15,164.32,2,82,38,5,1,0
13940,Yashasvi Jaiswal,IPL,66,66,2166,1417,124,34.38,152.86,3,258,92,15,2,0
13866,Sai Sudharsan,Test,3,6,140,341,61,23.33,41.06,0,18,0,1,0,0
13866,Sai Sudharsan,ODI,3,3,127,142,62,63.5,89.44,1,17,1,2,0,0
13866,Sai Sudharsan,T20,1,0,0,0,0,0,0,0,0,0,0,0,0
13866,Sai Sudharsan,IPL,40,40,1793,1229,108,49.81,145.90,4,183,52,12,2,0
576,Rohit Sharma,Test,67,116,4301,7538,212,40.58,57.06,10,473,88,18,12,1
576,Rohit Sharma,ODI,273,265,11168,12034,264,48.77,92.81,36,1044,344,58,32,3
576,Rohit Sharma,T20,159,151,4231,3003,121,31.34,140.90,16,383,205,32,5,0
576,Rohit Sharma,IPL,272,267,7046,5334,109,29.73,132.10,30,640,302,47,2,0
1413,Virat Kohli,Test,123,210,9230,16608,254,46.85,55.58,13,1027,30,31,30,7
1413,Virat Kohli,ODI,302,290,14181,15192,183,57.88,93.35,45,1325,153,74,51,0
1413,Virat Kohli,T20,125,117,4188,3056,122,48.7,137.05,31,369,124,38,1,0
1413,Virat Kohli,IPL,267,259,8661,6519,113,39.55,132.86,40,771,291,63,8,0
7915,Suryakumar Yadav,Test,1,1,8,20,8,8,40.00,0,1,0,0,0,0
7915,Suryakumar Yadav,ODI,37,35,773,736,72,25.77,105.03,5,80,19,4,0,0
7915,Suryakumar Yadav,T20,84,80,2605,1557,117,38.31,167.31,12,237,147,21,4,0
7915,Suryakumar Yadav,IPL,166,151,4311,2900,103,35.05,148.66,28,454,168,29,2,0
9428,Shreyas Iyer,Test,14,24,811,1287,105,36.86,63.02,2,94,16,5,1,0
9428,Shreyas Iyer,ODI,70,65,2845,2845,128,48.22,100.00,6,262,72,22,5,0
9428,Shreyas Iyer,T20,51,47,1104,811,74,30.67,136.13,11,90,44,8,0,0
9428,Shreyas Iyer,IPL,132,132,3731,2798,97,34.23,133.35,23,314,152,27,0,0
10896,Rinku Singh,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
10896,Rinku Singh,ODI,2,2,55,41,38,27.5,134.15,0,5,3,0,0,0
10896,Rinku Singh,T20,33,24,546,339,69,42,161.07,11,45,31,3,0,0
10896,Rinku Singh,IPL,58,51,1099,757,67,30.53,145.18,15,87,56,4,0,0
14504,Tilak Varma,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
14504,Tilak Varma,ODI,4,4,68,119,52,22.67,57.15,1,6,1,1,0,0
14504,Tilak Varma,T20,26,24,749,483,120,49.93,155.08,9,61,43,3,2,0
14504,Tilak Varma,IPL,54,51,1499,1038,84,37.48,144.42,11,113,74,8,0,0
11813,Ruturaj Gaikwad,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
11813,Ruturaj Gaikwad,ODI,6,6,115,157,71,19.17,73.25,0,16,0,1,0,0
11813,Ruturaj Gaikwad,T20,23,20,633,441,123,39.56,143.54,4,65,24,4,1,0
11813,Ruturaj Gaikwad,IPL,71,70,2502,1820,108,40.35,137.48,8,231,95,20,2,0
10636,Rajat Patidar,Test,3,6,63,164,32,10.5,38.42,0,9,0,0,0,0
10636,Rajat Patidar,ODI,1,1,22,16,22,22,137.50,0,3,1,0,0,0
10636,Rajat Patidar,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
10636,Rajat Patidar,IPL,42,38,1111,720,112,30.86,154.31,2,76,68,9,1,0
9429,Sarfaraz Khan,Test,6,11,371,495,150,37.1,74.95,1,44,8,3,1,0
9429,Sarfaraz Khan,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
9429,Sarfaraz Khan,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
9429,Sarfaraz Khan,IPL,50,37,585,448,67,22.5,130.59,11,63,14,1,0,0
9716,Abhimanyu Easwaran,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
9716,Abhimanyu Easwaran,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
9716,Abhimanyu Easwaran,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
9716,Abhimanyu Easwaran,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
8257,Karun Nair,Test,10,15,579,896,303,41.36,64.63,1,70,4,1,1,1
8257,Karun Nair,ODI,2,2,46,88,39,23,52.28,0,6,0,0,0,0
8257,Karun Nair,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
8257,Karun Nair,IPL,84,76,1694,1286,89,23.86,131.73,5,185,49,11,0,0
8364,Imam-ul-Haq,Test,24,46,1568,3404,157,37.33,46.07,4,170,12,9,3,0
8364,Imam-ul-Haq,ODI,75,74,3152,3846,151,46.35,81.96,6,253,30,20,9,0
8364,Imam-ul-Haq,T20,2,2,21,25,14,10.5,84.00,0,2,0,0,0,0
8364,Imam-ul-Haq,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
15847,Muhammad Hurraira,Test,2,4,46,95,29,11.5,48.43,0,4,0,0,0,0
15847,Muhammad Hurraira,ODI,0,0,0,0,0,0,0,0,0,0,0,0,0
15847,Muhammad Hurraira,T20,0,0,0,0,0,0,0,0,0,0,0,0,0
15847,Muhammad Hurraira,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
8359,Babar Azam,Test,59,108,4235,7787,196,42.78,54.39,9,495,23,29,9,0
8359,Babar Azam,ODI,134,131,6291,7179,158,54.23,87.64,15,580,68,37,19,0
8359,Babar Azam,T20,128,121,4223,3268,122,39.84,129.23,15,447,73,36,3,0
8359,Babar Azam,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
9545,Shan Masood,Test,42,80,2380,4539,156,30.13,52.44,1,232,21,11,6,0
9545,Shan Masood,ODI,9,9,163,234,50,18.11,69.66,0,19,0,1,0,0
9545,Shan Masood,T20,19,17,396,324,66,30.46,122.23,4,30,7,3,0,0
9545,Shan Masood,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
14241,Saim Ayub,Test,8,14,364,657,77,26,55.41,0,38,4,3,0,0
14241,Saim Ayub,ODI,12,12,543,534,113,49.36,101.69,1,63,17,1,3,0
14241,Saim Ayub,T20,41,39,816,598,98,22.05,136.46,2,86,36,4,0,0
14241,Saim Ayub,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
10863,Fakhar Zaman,Test,3,6,192,359,94,32,53.49,0,20,1,2,0,0
10863,Fakhar Zaman,ODI,86,85,3651,3890,210,46.22,93.86,6,409,79,17,11,1
10863,Fakhar Zaman,T20,102,94,2104,1591,91,23.38,132.25,4,200,83,12,0,0
10863,Fakhar Zaman,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
12565,Khushdil Shah,Test,0,0,0,0,0,0,0,0,0,0,0,0,0
