player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds,high_score,avg,fifties,ducks
11808,Shubman Gill,Test,37,69,2647,4309.0,269.0,41.36,61.43,5,295,43,7.0,9,1.0,,,,
11808,Shubman Gill,ODI,55,55,2775,2787.0,208.0,59.04,99.57,8,314,59,15.0,8,1.0,,,,
11808,Shubman Gill,T20,22,22,598,424.0,126.0,31.47,141.04,3,62,23,3.0,1,0.0,,,,
11808,Shubman Gill,IPL,118,115,3866,2787.0,129.0,39.45,138.72,17,372,119,26.0,4,0.0,,,,
13940,Yashasvi Jaiswal,Test,24,46,2209,3336.0,214.0,50.2,66.22,2,270,43,12.0,6,2.0,,,,
13940,Yashasvi Jaiswal,ODI,1,1,15,22.0,15.0,15.0,68.19,0,3,0,0.0,0,0.0,,,,
13940,Yashasvi Jaiswal,T20,23,22,723,440.0,100.0,36.15,164.32,2,82,38,5.0,1,0.0,,,,
13940,Yashasvi Jaiswal,IPL,66,66,2166,1417.0,124.0,34.38,152.86,3,258,92,15.0,2,0.0,,,,
13866,Sai Sudharsan,Test,3,6,140,341.0,61.0,23.33,41.06,0,18,0,1.0,0,0.0,,,,
13866,Sai Sudharsan,ODI,3,3,127,142.0,62.0,63.5,89.44,1,17,1,2.0,0,0.0,,,,
13866,Sai Sudharsan,T20,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
13866,Sai Sudharsan,IPL,40,40,1793,1229.0,108.0,49.81,145.9,4,183,52,12.0,2,0.0,,,,
576,Rohit Sharma,Test,67,116,4301,7538.0,212.0,40.58,57.06,10,473,88,18.0,12,1.0,,,,
576,Rohit Sharma,ODI,273,265,11168,12034.0,264.0,48.77,92.81,36,1044,344,58.0,32,3.0,,,,
576,Rohit Sharma,T20,159,151,4231,3003.0,121.0,31.34,140.9,16,383,205,32.0,5,0.0,,,,
576,Rohit Sharma,IPL,272,267,7046,5334.0,109.0,29.73,132.1,30,640,302,47.0,2,0.0,,,,
1413,Virat Kohli,Test,123,210,9230,16608.0,254.0,46.85,55.58,13,1027,30,31.0,30,7.0,,,,
1413,Virat Kohli,ODI,302,290,14181,15192.0,183.0,57.88,93.35,45,1325,153,74.0,51,0.0,,,,
1413,Virat Kohli,T20,125,117,4188,3056.0,122.0,48.7,137.05,31,369,124,38.0,1,0.0,,,,
1413,Virat Kohli,IPL,267,259,8661,6519.0,113.0,39.55,132.86,40,771,291,63.0,8,0.0,,,,
7915,Suryakumar Yadav,Test,1,1,8,20.0,8.0,8.0,40.0,0,1,0,0.0,0,0.0,,,,
7915,Suryakumar Yadav,ODI,37,35,773,736.0,72.0,25.77,105.03,5,80,19,4.0,0,0.0,,,,
7915,Suryakumar Yadav,T20,84,80,2605,1557.0,117.0,38.31,167.31,12,237,147,21.0,4,0.0,,,,
