id,name,battingStyle,bowlingStyle,role,team_name
11808,Shubman Gill,Right-hand bat,Right-arm offbreak,BATSMEN,India
13940,Yashasvi Jaiswal,Left-hand bat,Right-arm legbreak,BATSMEN,India
13866,Sai Sudharsan,Left-hand bat,Right-arm legbreak,BATSMEN,India
576,Rohit Sharma,Right-hand bat,Right-arm offbreak,BATSMEN,India
1413,Virat Kohli,Right-hand bat,Right-arm medium,BATSMEN,India
7915,Suryakumar Yadav,Right-hand bat,Right-arm offbreak,BATSMEN,India
9428,Shreyas Iyer,Right-hand bat,Right-arm legbreak,BATSMEN,India
10896,Rinku Singh,Left-hand bat,Right-arm offbreak,BATSMEN,India
14504,Tilak Varma,Left-hand bat,Right-arm offbreak,BATSMEN,India
11813,Ruturaj Gaikwad,Right-hand bat,Right-arm offbreak,BATSMEN,India
10636,Rajat Patidar,Right-hand bat,Right-arm offbreak,BATSMEN,India
9429,Sarfaraz Khan,Right-hand bat,Right-arm legbreak,BATSMEN,India
9716,Abhimanyu Easwaran,Right-hand bat,Right-arm legbreak,BATSMEN,India
8257,Karun Nair,Right-hand bat,Right-arm offbreak,BATSMEN,India
14701,Nitish Kumar Reddy,Right-hand bat,Right-arm fast-medium,ALL ROUNDER,India
9647,Hardik Pandya,Right-hand bat,Right-arm fast-medium,ALL ROUNDER,India
11195,Shivam Dube,Left-hand bat,Right-arm medium,ALL ROUNDER,India
12086,Abhishek Sharma,Left-hand bat,Left-arm orthodox,ALL ROUNDER,India
587,Ravindra Jadeja,Left-hand bat,Left-arm orthodox,ALL ROUNDER,India
8683,Shardul Thakur,Right-hand bat,Right-arm fast-medium,ALL ROUNDER,India
10945,Washington Sundar,Left-hand bat,Right-arm offbreak,ALL ROUNDER,India
8808,Axar Patel,Left-hand bat,Left-arm orthodox,ALL ROUNDER,India
10744,Rishabh Pant,Left-hand bat,,WICKET KEEPER,India
8733,KL Rahul,Right-hand bat,,WICKET KEEPER,India
14691,Dhruv Jurel,Right-hand bat,,WICKET KEEPER,India
8271,Sanju Samson,Right-hand bat,,WICKET KEEPER,India
10276,Ishan Kishan,Left-hand bat,,WICKET KEEPER,India
10808,Mohammed Siraj,Right-hand bat,Right-arm fast,BOWLER,India
9311,Jasprit Bumrah,Right-hand bat,Right-arm fast,BOWLER,India
10551,Prasidh Krishna,Right-hand bat,Right-arm fast,BOWLER,India
14726,Akash Deep,Right-hand bat,Right-arm fast-medium,BOWLER,India
8292,Kuldeep Yadav,Left-hand bat,Left-arm wrist-spin,BOWLER,India
13217,Arshdeep Singh,Left-hand bat,Left-arm fast-medium,BOWLER,India
24729,Harshit Rana,Right-hand bat,Right-arm fast-medium,BOWLER,India
14659,Ravi Bishnoi,Right-hand bat,Right-arm legbreak,BOWLER,India
10754,Mukesh Kumar,Right-hand bat,Right-arm fast-medium,BOWLER,India
12926,Varun Chakaravarthy,Right-hand bat,Right-arm legbreak,BOWLER,India
8364,Imam-ul-Haq,Left-hand bat,,BATSMEN,Pakistan
15847,Muhammad Hurraira,Right-hand bat,Right-arm offbreak,BATSMEN,Pakistan
8359,Babar Azam,Right-hand bat,Right-arm offbreak,BATSMEN,Pakistan
9545,Shan Masood,Left-hand bat,Right-arm medium,BATSMEN,Pakistan
14241,Saim Ayub,Left-hand bat,Right-arm offbreak,BATSMEN,Pakistan
10863,Fakhar Zaman,Left-hand bat,Left-arm orthodox,BATSMEN,Pakistan
12565,Khushdil Shah,Left-hand bat,Left-arm orthodox,BATSMEN,Pakistan
41113,Hasan Nawaz,Right-hand bat,Right-arm offbreak,BATSMEN,Pakistan
12139,Abdullah Shafique,Right-hand bat,Right-arm offbreak,BATSMEN,Pakistan
37572,Tayyab Tahir,Right-hand bat,Right-arm legbreak,BATSMEN,Pakistan
13239,Omair Yousuf,Right-hand bat,,BATSMEN,Pakistan
1433121,Abdul Samad,Right-hand bat,,BATSMEN,Pakistan
9812,Saud Shakeel,Left-hand bat,Left-arm orthodox,ALL ROUNDER,Pakistan
9807,Kamran Ghulam,Right-hand bat,Left-arm orthodox,ALL ROUNDER,Pakistan
10101,Salman Agha,Right-hand bat,Right-arm offbreak,ALL ROUNDER,Pakistan
15460,Irfan Khan,Right-hand bat,Right-arm fast-medium,ALL ROUNDER,Pakistan
9804,Hussain Talat,Left-hand bat,Right-arm medium,ALL ROUNDER,Pakistan
14545,Noman Ali,Left-hand bat,Left-arm orthodox,ALL ROUNDER,Pakistan
11265,Faheem Ashraf,Left-hand bat,Right-arm medium,ALL ROUNDER,Pakistan
11186,Shadab Khan,Right-hand bat,Right-arm legbreak,ALL ROUNDER,Pakistan
55256,Jahandad Khan,Left-hand bat,Left-arm fast-medium,ALL ROUNDER,Pakistan
13192,Rohail Nazir,Right-hand bat,,WICKET KEEPER,Pakistan
9468,Mohammad Rizwan,Right-hand bat,,WICKET KEEPER,Pakistan
13625,Sahibzada Farhan,Right-hand bat,,WICKET KEEPER,Pakistan
15038,Mohammad Haris,Right-hand bat,Right-arm offbreak,WICKET KEEPER,Pakistan
19013,Usman Khan,Right-hand bat,Right-arm offbreak,WICKET KEEPER,Pakistan
12555,Abrar Ahmed,Right-hand bat,Right-arm legbreak,BOWLER,Pakistan
19066,Sajid Khan,Right-hand bat,Right-arm offbreak,BOWLER,Pakistan
35250,Mohammad Ali,Right-hand bat,Right-arm fast-medium,BOWLER,Pakistan
19627,Khurram Shahzad,Right-hand bat,Right-arm medium,BOWLER,Pakistan
1450089,Kashif Ali,Right-hand bat,Right-arm medium,BOWLER,Pakistan
14561,Haris Rauf,Right-hand bat,Right-arm fast,BOWLER,Pakistan
14247,Naseem Shah,Right-hand bat,Right-arm fast,BOWLER,Pakistan
11320,Hasan Ali,Right-hand bat,Right-arm fast-medium,BOWLER,Pakistan
15034,Abbas Afridi,Right-hand bat,Right-arm fast-medium,BOWLER,Pakistan
15751,Akif Javed,Right-hand bat,Left-arm fast-medium,BOWLER,Pakistan
15040,Mohammad Wasim Jr,Right-hand bat,Right-arm fast-medium,BOWLER,Pakistan
41169,Sufiyan Muqeem,Left-hand bat,Left-arm wrist-spin,BOWLER,Pakistan
12160,Shaheen Afridi,Left-hand bat,Left-arm fast-medium,BOWLER,Pakistan
14248,Mohammad Hasnain,Right-hand bat,Right-arm fast-medium,BOWLER,Pakistan
2250,Steven Smith,Right-hand bat,Right-arm legbreak,BATSMEN,Australia
