,id,ground,city,country,timezone,capacity,ends,homeTeam
0,458,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,+05:45,20000,"Pavillion End, Chobar End",Nepal
1,153,Dubai International Cricket Stadium,Dubai,United Arab Emirates,+04:00,25000,"Emirates Road End, Dubai Sports City End",United Arab Emirates
2,1437791,Sportpark Duivesteijn,Voorburg,Netherlands,+02:00,0,,
3,139,Maple Leaf North-West Ground,King City,Canada,-04:00,0,"Northern End, Southern End",Canada
4,915,Prairie View Cricket Complex,Houston,United States,-05:00,10000,"Forest End, Highway End",United States of America
5,1668,Grand Prairie Stadium,Dallas,United States,-05:00,7000,,Texas Super Kings
6,549,Al Amerat Cricket Ground (Ministry Turf 1),Al Amerat,Oman,+04:00,0,"Al Amerat End, Pavilion End",Oman
7,270,Central Broward Regional Park Stadium Turf Ground,"Lauderhill, Florida",United States,-04:00,20000,"North End, Pavilion End",United States of America
8,69,Harare Sports Club,Harare,Zimbabwe,+02:00,10000,"City End, Club House End","Rhodesia, Zimbabwe, Mashonaland"
9,140,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,+04:00,16000,"Pavilion End, Sharjah Club End",United Arab Emirates
10,66,Headingley,Leeds,England,+01:00,17000,"Kirkstall Lane End, Football Stand End",Yorkshire
11,19,Lord's,London,England,+01:00,30000,"Pavilion End, Nursery End","Marylebone Cricket Club, Middlesex"
12,21,The Rose Bowl,Southampton,England,+01:00,6500,"Pavilion End, Northern End","Hampshire, Hampshire 2nd XI"
13,62,Sophia Gardens,Cardiff,Wales,+01:00,15000,"River Taff End, Cathedral Road End",Glamorgan
14,65,Emirates Old Trafford,Manchester,England,+01:00,19000,"Stretford End, Brian Statham End",Lancashire
15,18,Trent Bridge,Nottingham,England,+01:00,17000,"Pavilion End, Radcliffe Road End",Nottinghamshire
16,1438142,Cronkbourne Sports and Social Club Ground,Tromode,Isle of Man,+01:00,0,,
17,94,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,+04:00,20000,"North End, Pavilion End",United Arab Emirates
18,1877,Malkerns Country Club oval,Malkerns,Eswatini,+02:00,0,,Eswatini
19,70,Queens Sports Club,Bulawayo,Zimbabwe,+02:00,9000,"City End, Airport End","Zimbabwe, Matabeleland"
20,393,Bay Oval,Mount Maunganui,New Zealand,+13:00,0,,
21,50,Narendra Modi Stadium,Ahmedabad,India,+05:30,132000,"Adani Pavilion End, GMDC End","Gujarat, Gujarat Titans"
22,51,Arun Jaitley Stadium,Delhi,India,+05:30,48000,"Stadium End, Pavilion End","Delhi, Delhi Capitals"
23,26,Gaddafi Stadium,Lahore,Pakistan,+05:00,27000,"Pavilion End, College End",Lahore
24,25,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,+05:00,15000,"Pavilion End, Shell End","Pakistan, Rawalpindi"
25,30,Iqbal Stadium,Faisalabad,Pakistan,+05:00,25000,"Pavilion End, Golf Course End",Faisalabad
26,371,Hagley Oval,Christchurch,New Zealand,+13:00,20000,,Canterbury
27,41,Eden Park,Auckland,New Zealand,+13:00,41000,"Broadcasting End, Terraces End",Auckland
28,100,Seddon Park,Hamilton,New Zealand,+13:00,10000,"Members End, City End",Northern Districts
29,42,Sky Stadium,Wellington,New Zealand,+13:00,37000,"Scoreboard End, City End",Wellington and Wellington Firebirds
30,512,Perth Stadium,Perth,Australia,+08:00,60000,,
31,40,Adelaide Oval,Adelaide,Australia,+10:30,53583,"City End, Cathedral End",South Australia and Adelaide Strikers
32,34,Sydney Cricket Ground,Sydney,Australia,+11:00,48000,"Paddington End, Randwick End","New South Wales, Sydney Sixers"
33,123,Manuka Oval,Canberra,Australia,+11:00,13550,"Pool End, Mall End","Australian Capital Territory, New South Wales, Pri"
34,87,Melbourne Cricket Ground,Melbourne,Australia,+11:00,100000,"Members End, Great Southern Stand End","Australia, Victoria"
35,39,Bellerive Oval,Hobart,Australia,+11:00,20000,"Church Street End, River End","Tasmania, Hobart Hurricanes"
36,1438034,Bill Pippen Oval,Gold Coast,Australia,+10:00,0,,
37,35,The Gabba,Brisbane,Australia,+10:00,42000,"Stanley Street End, Vulture Street End","Queensland, Brisbane Heat"
38,372,Saxton Oval,Nelson,New Zealand,+13:00,5000,, Central Districts
39,116,University Oval,Dunedin,New Zealand,+13:00,3500,"Southern End, Northern End","Otago, Otago Volts"
40,44,McLean Park,Napier,New Zealand,+13:00,22500,"Centennial Stand End, Embankment End",Central Districts
41,269,Bert Sutcliffe Oval,Lincoln,New Zealand,+13:00,0,"Pavilion End, City End",New Zealand Academy
42,45,Basin Reserve,Wellington,New Zealand,+13:00,11600,"Vance Stand End, Scoreboard End",Wellington
43,31,Eden Gardens,Kolkata,India,+05:30,63000,"High Court End, Pavilion End","Bengal, Kolkata Knight Riders"
44,380,Barsapara Cricket Stadium,Guwahati,India,+05:30,40000,"Media End, Pavilion End",Assam
45,291,JSCA International Stadium Complex,Ranchi,India,+05:30,0,,
46,335,Shaheed Veer Narayan Singh International Stadium,Raipur,India,+05:30,65000,"North End, South End","Delhi Daredevils, Chhattisgarh"
47,154,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,+05:30,28000,"Vizzy End, DV Subba Rao End",Andhra
48,103,Barabati Stadium,Cuttack,India,+05:30,45000,"Mahanadi River End River End, Pavilion End","India, Odisha"
49,851,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,India,+05:30,38000,,"Punjab, Punjab Kings"
50,155,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,+05:30,23000,"River End, College End","Himachal Pradesh, Punjab Kings"
51,485,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,+05:30,50000,,"Uttar Pradesh, Lucknow Super Giants"
52,1843,BCA Stadium,Vadodara,India,+05:30,0,,
53,290,Niranjan Shah Stadium,Rajkot,India,+05:30,28000,,Saurashtra
54,152,Holkar Cricket Stadium,Indore,India,+05:30,0,"GAIL-Madhav Rao Scindia End, Pavilion End",Madhya Pradesh
55,506,Greenfield International Stadium,Thiruvananthapuram,India,+05:30,50000,,
56,15,R.Premadasa Stadium,Colombo,Sri Lanka,+05:30,35000,"Khettarama End, Scoreboard End",Sri Lanka
