id,name,start_date,end_date,series_type
7572,ICC Cricket World Cup League Two 2023-27,2024-02-15,2027-03-30,international
10267,"Sri Lanka tour of Zimbabwe, 2025",2025-08-29,2025-09-07,international
10642,United Arab Emirates T20I Tri-Series 2025,2025-08-29,2025-09-07,international
8788,"South Africa tour of England, 2025",2025-09-02,2025-09-14,international
10812,Sweden tour of Isle Of Man 2025,2025-09-06,2025-09-07,international
10587,Asia Cup 2025,2025-09-09,2025-09-28,international
10917,Mozambique tour of Eswatini 2025,2025-09-12,2025-09-14,international
10928,Namibia tour of Zimbabwe 2025,2025-09-15,2025-09-18,international
8802,"England tour of Ireland, 2025",2025-09-17,2025-09-21,international
10091,"West Indies vs Nepal in UAE, 2025",2025-09-27,2025-09-30,international
10201,"Australia tour of New Zealand, 2025",2025-10-01,2025-10-04,international
9629,"West Indies tour of India, 2025",2025-10-02,2025-10-14,international
10840,Afghanistan vs Bangladesh in UAE 2025,2025-10-02,2025-10-14,international
10625,ICC Mens T20 World Cup East Asia Pacific Qualifier 2025,2025-10-08,2025-10-17,international
10504,South Africa tour of Namibia 2025,2025-10-11,2025-10-11,international
10895,"South Africa tour of Pakistan, 2025",2025-10-12,2025-11-08,international
10212,"England tour of New Zealand, 2025",2025-10-18,2025-11-01,international
9596,"India tour of Australia, 2025",2025-10-19,2025-11-08,international
10223,"West Indies tour of New Zealand, 2025",2025-11-05,2025-12-22,international
10933,Sri Lanka tour of Pakistan 2025,2025-11-11,2025-11-15,international
9638,"South Africa tour of India, 2025",2025-11-14,2025-12-19,international
10906,Pakistan T20I Tri-Series 2025,2025-11-17,2025-11-29,international
9107,"The Ashes, 2025-26",2025-11-21,2026-01-08,international
10102,"New Zealand tour of India, 2026",2026-01-11,2026-01-31,international
10774,England tour of Sri Lanka 2026,2026-01-22,2026-02-03,international
9551,"West Indies tour of South Africa, 2026",2026-01-27,2026-02-06,international
10234,"South Africa tour of New Zealand, 2026",2026-03-15,2026-03-25,international
10559,"New Zealand tour of England, 2026",2026-06-04,2026-06-29,international
10532,"India tour of England, 2026",2026-07-01,2026-07-19,international
10565,Pakistan tour of England 2026,2026-08-19,2026-09-09,international
