id,ground,city,country
458,Tribhuvan University International Cricket Ground,Kirtipur,Nepal
153,Dubai International Cricket Stadium,Dubai,United Arab Emirates
573,Forthill,Dundee,Scotland
1437791,Sportpark Duivesteijn,Voorburg,Netherlands
363,Wanderers Cricket Ground,Windhoek,Namibia
139,Maple Leaf North-West Ground,King City,Canada
524,United Cricket Club Ground,Windhoek,Namibia
915,Prairie View Cricket Complex,Houston,United States
1668,Grand Prairie Stadium,Dallas,United States
549,Al Amerat Cricket Ground (Ministry Turf 1),Al Amerat,Oman
264,VRA Cricket Ground,Amstelveen,Netherlands
283,SV Kampong CC,"Kampong, Utrecht",Netherlands
270,Central Broward Regional Park Stadium Turf Ground,"Lauderhill, Florida",United States
69,Harare Sports Club,Harare,Zimbabwe
140,Sharjah Cricket Stadium,Sharjah,United Arab Emirates
66,Headingley,Leeds,England
19,Lord's,London,England
21,The Rose Bowl,Southampton,England
62,Sophia Gardens,Cardiff,Wales
65,Emirates Old Trafford,Manchester,England
18,Trent Bridge,Nottingham,England
1438142,Cronkbourne Sports and Social Club Ground,Tromode,Isle of Man
94,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates
153,Dubai International Cricket Stadium,Dubai,United Arab Emirates
1877,Malkerns Country Club oval,Malkerns,Eswatini
70,Queens Sports Club,Bulawayo,Zimbabwe
370,The Village,Dublin,Ireland
140,Sharjah Cricket Stadium,Sharjah,United Arab Emirates
393,Bay Oval,Mount Maunganui,New Zealand
50,Narendra Modi Stadium,Ahmedabad,India
51,Arun Jaitley Stadium,Delhi,India
140,Sharjah Cricket Stadium,Sharjah,United Arab Emirates
94,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates
549,Al Amerat Cricket Ground (Ministry Turf 1),Al Amerat,Oman
363,Wanderers Cricket Ground,Windhoek,Namibia
26,Gaddafi Stadium,Lahore,Pakistan
25,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
30,Iqbal Stadium,Faisalabad,Pakistan
371,Hagley Oval,Christchurch,New Zealand
41,Eden Park,Auckland,New Zealand
393,Bay Oval,Mount Maunganui,New Zealand
100,Seddon Park,Hamilton,New Zealand
42,Sky Stadium,Wellington,New Zealand
512,Perth Stadium,Perth,Australia
40,Adelaide Oval,Adelaide,Australia
34,Sydney Cricket Ground,Sydney,Australia
123,Manuka Oval,Canberra,Australia
87,Melbourne Cricket Ground,Melbourne,Australia
39,Bellerive Oval,Hobart,Australia
1438034,Bill Pippen Oval,Gold Coast,Australia
35,The Gabba,Brisbane,Australia
41,Eden Park,Auckland,New Zealand
372,Saxton Oval,Nelson,New Zealand
116,University Oval,Dunedin,New Zealand
371,Hagley Oval,Christchurch,New Zealand
44,McLean Park,Napier,New Zealand
100,Seddon Park,Hamilton,New Zealand
269,Bert Sutcliffe Oval,Lincoln,New Zealand
